faultynum,faultid,committee size,proposer size,txsize (bytes),blocksize (K bytes),blocknum,successnum,latency,latencystd,throughput,throughputstd,success rate
,,22,3,512,1024,497,497,2.0114,2.71022,994,122.583,1
,,22,3,512,2048,249,249,4.00348,2.50971,996,57.9655,1
,,22,3,512,4096,124,124,8.0301,1.19905,992,41.3118,1
,,22,3,512,8192,97,83,11.9608,4.55811,850.898,132.572,0.855670103
,,22,3,512,16384,97,83,11.9608,4.55811,850.898,132.572,0.855670103
,,,,,,,,,,,,#DIV/0!
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,2,512,64,705,699,1.41528,3.36846,87.375,23.3069,0.991489362
,,22,2,512,128,705,699,1.42478,3.36591,174.75,40.7814,0.991489362
,,22,2,512,256,701,696,1.40874,3.27248,348,102.556,0.992867332
,,22,2,512,512,681,676,1.47918,3.26425,676,206.731,0.992657856
,,22,2,512,1024,461,458,2.16474,2.89874,912,51.8116,0.993492408
,,22,2,512,2048,249,247,4.03523,2.91468,988,53.4997,0.991967871
,,22,2,512,4096,124,124,8.02826,1.18739,992,41.3118,1
,,22,2,512,8192,99,93,10.7338,2.87178,936.805,99.1016,0.939393939
,,22,2,512,16384,99,93,10.7338,2.87178,936.805,99.1016,0.939393939
,,,,,,,,,,,,#DIV/0!
10,"4,15,17,22,31,44,45,53,56,77",,,512,64,249,222,4.50171,6.69742,27.5,9.22331,0.891566265
10,"4,15,17,22,31,44,45,53,56,77",,,512,128,240,215,4.64296,6.52029,53.25,11.1212,0.895833333
10,"4,15,17,22,31,44,45,53,56,77",,,512,256,227,205,4.87094,6.29321,101.5,21.7371,0.9030837
10,"4,15,17,22,31,44,45,53,56,77",,,512,512,192,173,5.73435,6.37534,172,37.6534,0.901041667
10,"4,15,17,22,31,44,45,53,56,77",,,512,1024,146,130,7.53679,6.43459,258,61.4275,0.890410959
10,"4,15,17,22,31,44,45,53,56,77",,,512,2048,103,93,10.7199,6.35139,372,88.5438,0.902912621
,,,,,,,,,,,,#DIV/0!
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",51,,512,64,257,229,4.32662,6.80698,28.625,10.7602,0.891050584
,,51,,512,128,248,221,4.52453,6.81345,55.25,23.5245,0.891129032
,,51,,512,256,226,201,4.96198,6.88957,100.5,33.2039,0.889380531
,,51,,512,512,193,171,5.83656,7.0332,171,56.8526,0.886010363
,,51,,512,1024,151,134,7.46038,7.0053,268,77.8603,0.887417219
,,51,,512,2048,104,93,10.7157,6.7349,372,96.2404,0.894230769
,,,,,,,,,,,,#DIV/0!
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,,512,64,257,229,4.32106,6.80677,28.625,10.5976,0.891050584
,,22,,512,128,248,221,4.51886,6.81328,55.25,24.0211,0.891129032
,,22,,512,256,226,201,4.9561,6.8894,100.5,33.2039,0.889380531
,,22,,512,512,193,171,5.83035,7.03343,171,55.4677,0.886010363
,,22,,512,1024,151,134,7.45423,7.00605,268,77.8603,0.887417219
,,22,,512,2048,104,93,10.7099,6.73549,372,96.2404,0.894230769
,,,,,,,,,,,,#DIV/0!
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,3,512,64,332,332,3.00644,2.74547,41.5,8.87412,1
,,22,3,512,128,314,314,3.16055,2.63569,78.5,12.4276,1
,,22,3,512,256,263,263,3.79769,2.63254,131.5,18.5667,1
,,22,3,512,512,192,192,5.19306,2.21221,192,22.0101,1
,,22,3,512,1024,124,124,8.04559,1.34532,248,21.4994,1
,,22,3,512,2048,96,4,239.351,325.147,12,19.3218,0.041666667
,,,,,,,,,,,,#DIV/0!
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,2,512,64,329,326,3.06584,3.15837,40.75,8.42038,0.990881459
,,22,2,512,128,310,308,3.24661,3.0034,77,13.7336,0.993548387
,,22,2,512,256,270,268,3.72956,3.05585,134,24.8104,0.992592593
,,22,2,512,512,217,216,4.61643,2.67427,216,27.1621,0.995391705
,,22,2,512,1024,149,149,6.70277,1.6801,298,23.9444,1
,,22,2,512,2048,89,16,58.4101,45.8383,60,43.2049,0.179775281
