faultynum,faultid,committee size,proposer size,txsize (bytes),blocksize (K bytes),blocknum,successnum,latency,latencystd,throughput,throughputstd
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,2,512,64,648,643,1.54985,3.25336,80.375,19.7031
,,22,2,512,128,644,639,1.55037,3.24137,159.75,42.8572
,,22,2,512,256,638,633,1.57901,3.25031,316.5,83.335
,,22,2,512,512,620,615,1.61204,3.22346,615,193.692
,,22,2,512,1024,461,458,2.16924,2.93451,912,113.216
,,22,2,512,2048,249,247,4.03584,2.96908,988,70.6792
,,22,2,512,4096,124,124,8.02999,1.29956,992,41.3118
,,22,2,512,8192,99,99,10.0156,0.277425,990,31.6228
,,22,2,512,16384,99,99,10.0156,0.277425,990,31.6228
,,,,,,,,,,,
10,"4,15,17,22,31,44,45,53,56,77",,,512,64,198,178,5.60466,6.46557,22.25,3.71745
10,"4,15,17,22,31,44,45,53,56,77",,,512,128,192,173,5.75894,6.40694,43.25,10.1414
10,"4,15,17,22,31,44,45,53,56,77",,,512,256,179,161,6.20635,6.46639,80.5,20.4736
10,"4,15,17,22,31,44,45,53,56,77",,,512,512,154,137,7.26423,6.78364,137,30.203
10,"4,15,17,22,31,44,45,53,56,77",,,512,1024,128,116,8.5796,6.21807,232,55.1362
10,"4,15,17,22,31,44,45,53,56,77",,,512,2048,92,83,11.9788,6.39425,332,56.7255
,,,,,,,,,,,
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",51,,512,64,203,181,5.51334,6.85583,22.625,6.67838
,,51,,512,128,193,171,5.84713,7.03395,42.75,14.2132
,,51,,512,256,180,160,6.23212,6.90812,80,25.2763
,,51,,512,512,159,141,7.08386,7.00517,141,39.0014
,,51,,512,1024,127,112,8.893,7.13105,224,66.5332
,,51,,512,2048,94,85,11.7073,6.44976,340,82.7312
,,,,,,,,,,,
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,,512,64,203,181,5.50712,6.85657,22.625,6.65233
,,22,,512,128,193,171,5.84071,7.03478,42.75,14.2132
,,22,,512,256,180,160,6.22621,6.90879,80,25.2763
,,22,,512,512,159,141,7.07746,7.006,141,40.4008
,,22,,512,1024,127,112,8.88633,7.13204,224,66.5332
,,22,,512,2048,94,85,11.7011,6.4504,340,78.3156
,,,,,,,,,,,
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,3,512,64,227,227,4.39985,2.90104,28.375,4.41155
,,22,3,512,128,218,218,4.58578,2.83577,54.5,7.0514
,,22,3,512,256,204,204,4.89742,2.63806,102,16.5328
,,22,3,512,512,166,166,6.0111,2.40173,166,18.3787
,,22,3,512,1024,115,115,8.65894,1.44854,230,19.4365
,,22,3,512,2048,69,69,14.4213,1.47417,276,12.6491
,,,,,,,,,,,
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,2,512,64,226,225,4.41621,3.08214,28.125,4.57385
,,22,2,512,128,217,216,4.60392,3.03267,54,7.92324
,,22,2,512,256,202,201,4.96605,2.9279,100.5,17.0701
,,22,2,512,512,174,173,5.77051,2.80359,173,20.5751
,,22,2,512,1024,134,134,7.45737,1.80266,268,23.4758
,,22,2,512,2048,85,83,11.6693,0.940653,332,37.9473
